ent_prod_cd,pdp_link,img_value,ent_prod_nm,start_dt,end_dt,ent_cate_nm,ent_sub_cate_nm,region_nm,place_nm,place_adr_nm,actor_list,category_number,category_name,reason
25012973,https://tickets.interpark.com/goods/25012973,https://ticketimage.interpark.com/Play/image/large/25/25012973_p.gif,에스더 유＆박재홍 듀오 리사이틀,20251205,20251205,클래식/오페라,클래식,서울,예술의전당 IBK기업은행챔버홀,,,1,"연말 분위기 물씬, 연인과 함께 보기 좋은 공연·전시",12월 공연
25012984,https://tickets.interpark.com/goods/25012984,https://ticketimage.interpark.com/Play/image/large/25/25012984_p.gif,한수진 ＆ 피터 오브차로프 송년 듀오 콘서트 - 부산,20251213,20251213,클래식/오페라,클래식,부산시,부산콘서트홀 콘서트홀,,,1,"연말 분위기 물씬, 연인과 함께 보기 좋은 공연·전시","12월 공연, 연말/로맨스 키워드 포함"
25012989,https://tickets.interpark.com/goods/25012989,https://ticketimage.interpark.com/Play/image/large/25/25012989_p.gif,첼리스트 심준호의 “Beethoven”,20251206,20251206,클래식/오페라,클래식,서울,예술의전당 IBK기업은행챔버홀,,,1,"연말 분위기 물씬, 연인과 함께 보기 좋은 공연·전시",12월 공연
25013039,https://tickets.interpark.com/goods/25013039,https://ticketimage.interpark.com/Play/image/large/25/25013039_p.gif,BAC 프라임클래식 Ⅹ : 리처드 용재 오닐＆제레미 덴크 듀오 리사이틀,20251224,20251224,클래식/오페라,클래식,경기,부천아트센터 콘서트홀,경기도 부천시 원미구 소향로 165(중동),,1,"연말 분위기 물씬, 연인과 함께 보기 좋은 공연·전시",12월 공연
25013082,https://tickets.interpark.com/goods/25013082,https://ticketimage.interpark.com/Play/image/large/25/25013082_p.gif,양인모의 판타지,20251203,20251204,클래식/오페라,클래식,서울,서소문성지역사박물관 콘솔레이션 홀,서울특별시 중구 칠패로 5(의주로2가) 서소문성지역사박물관,,1,"연말 분위기 물씬, 연인과 함께 보기 좋은 공연·전시",12월 공연
25013370,https://tickets.interpark.com/goods/25013370,https://ticketimage.interpark.com/Play/image/large/25/25013370_p.gif,연극 〈포쉬〉,20251017,20260111,연극,리미티드런 연극,서울,링크아트센터드림 드림4관,서울특별시 종로구 동숭길 123(동숭동),"Creative Team-최보윤, 뮤지컬배우-김이준, 연극배우-강은빈, 연극배우-김리현, 연극배우-김민호, 연극배우-김보영, 연극배우-김아론, 연극배우-김이준, 연극배우-김준호, 연극배우-김평조, 연극배우-김한빈, 연극배우-류한나, 연극배우-맹시현, 연극배우-민호준, 연극배우-박덕호, 연극배우-박창하, 연극배우-서이빈, 연극배우-서주원, 연극배우-신상언, 연극배우-엄익재, 연극배우-윤여백, 연극배우-이사계, 연극배우-이서현, 연극배우-이예준, 연극배우-이재은, 연극배우-이정민, 연극배우-이채원, 연극배우-장현, 연극배우-전재희, 연극배우-정지우, 연극배우-조영화, 연극배우-지병현, 연극배우-진태연, 연극배우-최기정, 연극배우-최하윤, 연극배우-표바하, 연극배우-한민우, 연극배우-홍순기, 연극배우-홍준기",2,무대 위 감동과 열정이 가득한 공연,"연극 카테고리, 공연 관련 키워드 포함"
25013154,https://tickets.interpark.com/goods/25013154,https://ticketimage.interpark.com/Play/image/large/25/25013154_p.gif,뮤지컬〈#0528〉,20251022,20260111,뮤지컬,라이선스,서울,링크아트센터드림 드림1관,서울특별시 종로구 동숭길 123(동숭동),"뮤지컬배우-김서환, 뮤지컬배우-박좌헌, 뮤지컬배우-심수호, 뮤지컬배우-유태율, 뮤지컬배우-이진우, 뮤지컬배우-장두환, 뮤지컬배우-조훈, 뮤지컬배우-현석준, 뮤지컬배우-황민수, 스태프-서윤석",2,무대 위 감동과 열정이 가득한 공연,"뮤지컬 카테고리, 공연 관련 키워드 포함"
25013053,https://tickets.interpark.com/goods/25013053,https://ticketimage.interpark.com/Play/image/large/25/25013053_p.gif,연극 〈탐정 산애〉 트라이아웃,20251011,20251123,연극,리미티드런 연극,서울,예스24아트원 3관,서울특별시 종로구 대학로12길 83(동숭동) 예스24아트원 3관,"연극배우-금민경, 연극배우-김려은, 연극배우-김지유, 연극배우-김청아, 연극배우-박보배, 연극배우-박소현, 연극배우-안리나, 연극배우-안현아, 연극배우-연지현, 연극배우-오소현, 연극배우-이진주",2,무대 위 감동과 열정이 가득한 공연,"연극 카테고리, 공연 관련 키워드 포함"
25013717,https://tickets.interpark.com/goods/25013717,https://ticketimage.interpark.com/Play/image/large/25/25013717_p.gif,J_Pop ＆ 애니 Hanabi Symphony ＆ Band Concert : 불꽃의 심포니,20251026,20251102,클래식/오페라,클래식,서울,롯데콘서트홀,,,2,무대 위 감동과 열정이 가득한 공연,클래식/오페라 카테고리
25014117,https://tickets.interpark.com/goods/25014117,https://ticketimage.interpark.com/Play/image/large/25/25014117_p.gif,"사도, 인더박스",20251023,20251102,연극,리미티드런 연극,서울,지구인아트홀,서울특별시 종로구 창경궁로 260(명륜2가) 지구인아트홀,,2,무대 위 감동과 열정이 가득한 공연,연극 카테고리
